vehicle_id,measure_id,measure_ts,measure_value
1,1,2010-10-11 09:10:37,3.3006
1,1,2010-10-11 09:50:33,1.0782
1,1,2010-10-11 10:30:15,2.325
2,1,2010-10-11 11:10:40,4.1554
2,1,2010-10-11 11:50:34,4.9312
2,1,2010-10-11 12:30:07,5.967
2,1,2010-10-11 13:10:39,3.673
2,1,2010-10-11 13:50:42,2.8506
2,1,2010-10-11 14:30:27,2.8555
2,1,2010-10-11 15:10:51,3.1923
2,1,2010-10-11 15:50:52,4.04
2,1,2010-10-11 16:30:27,3.713
2,1,2010-10-12 09:10:36,4.7523
2,1,2010-10-12 09:50:49,3.8789
2,1,2010-10-12 10:30:24,2.5713
2,1,2010-10-12 11:10:09,2.0905
2,1,2010-10-12 11:50:59,0.0721
2,1,2010-10-12 12:30:22,4.669
2,1,2010-10-12 13:10:10,2.7264
2,1,2010-10-12 13:55:58,3.6448
2,1,2010-10-12 14:55:05,3.9363
2,1,2010-10-12 15:35:10,4.5115
2,1,2010-10-12 16:15:45,2.2947
2,1,2010-10-12 16:55:14,3.3816
2,1,2010-10-13 09:35:58,2.4011
2,1,2010-10-13 10:15:22,5.7366
2,1,2010-10-13 10:55:08,4.2174
2,1,2010-10-13 11:35:12,2.9983
2,1,2010-10-13 12:15:27,4.5407
2,1,2010-10-13 12:55:48,3.1907
2,1,2010-10-13 13:35:46,0.718
2,1,2010-10-13 14:15:48,3.8413
2,1,2010-10-13 14:55:10,1.2689
2,1,2010-10-13 15:35:39,4.0431
2,1,2010-10-13 16:15:59,4.9967
2,1,2010-10-13 16:55:44,4.2
2,1,2010-10-14 09:35:26,4.0101
2,1,2010-10-14 10:15:51,4.6697
2,1,2010-10-14 11:15:53,1.0507
2,1,2010-10-14 11:55:45,1.8656
2,1,2010-10-14 12:35:13,2.862
2,1,2010-10-14 13:15:30,5.0906
2,1,2010-10-14 13:55:27,3.5786
2,1,2010-10-14 14:35:40,5.6142
2,1,2010-10-14 15:15:33,4.9695
2,1,2010-10-14 15:55:06,3.1499
2,1,2010-10-14 16:35:00,4.7047
2,1,2010-10-15 09:15:44,3.0416
2,1,2010-10-15 09:55:49,1.8188
2,1,2010-10-15 10:35:32,3.4311
2,1,2010-10-15 11:10:24,3.6864
2,1,2010-10-15 11:50:20,1.7551
2,1,2010-10-11 09:15:29,1.9426
2,1,2010-10-11 09:56:00,2.9811
2,1,2010-10-11 10:35:10,1.1367
2,1,2010-10-11 11:15:24,3.3437
2,1,2010-10-11 11:55:30,2.7177
2,1,2010-10-11 12:25:09,1.3541
2,1,2010-10-11 13:05:12,2.3421
2,1,2010-10-11 13:45:25,5.2583
2,1,2010-10-11 14:25:59,3.5448
2,1,2010-10-11 15:05:32,3.0601
2,1,2010-10-11 15:45:26,2.0996
2,1,2010-10-11 16:25:49,2.8137
2,1,2010-10-12 09:05:30,4.1031
2,1,2010-10-12 09:45:14,1.0963
2,1,2010-10-12 10:25:29,4.0137
1,1,2010-10-12 11:05:14,3.1132
1,1,2010-10-12 11:45:04,1.766
1,1,2010-10-12 12:25:19,1.0644
1,1,2010-10-12 13:05:58,1.9788
1,1,2010-10-12 13:40:37,2.628
1,1,2010-10-12 14:20:38,5.155
1,1,2010-10-12 15:00:25,1.5574
1,1,2010-10-12 15:40:35,4.2423
1,1,2010-10-12 16:20:35,1.1245
1,1,2010-10-13 09:00:21,3.7072
1,1,2010-10-13 09:40:33,0.947
1,1,2010-10-13 10:20:23,4.1662
1,1,2010-10-13 11:00:01,1.5261
1,1,2010-10-13 11:40:43,4.378
1,1,2010-10-13 12:20:46,2.8526
1,1,2010-10-13 13:00:50,4.2812
1,1,2010-10-13 13:40:10,4.3206
1,1,2010-10-13 14:20:14,2.8337
1,1,2010-10-13 15:00:09,4.4179
1,1,2010-10-13 15:40:13,3.6643
1,1,2010-10-13 16:20:40,1.5514
1,1,2010-10-14 09:00:32,5.772
1,1,2010-10-14 09:40:41,5.0064
1,1,2010-10-14 10:20:55,2.8097
1,1,2010-10-14 11:00:40,1.3168
1,1,2010-10-14 11:40:22,4.0664
1,1,2010-10-14 12:20:03,1.9093
1,1,2010-10-14 13:00:36,4.1305
1,1,2010-10-14 13:40:38,3.1696
1,1,2010-10-14 14:20:19,5.0057
1,1,2010-10-14 15:00:32,2.1442
1,1,2010-10-14 15:40:24,4.2828
1,1,2010-10-14 16:20:04,1.7717
1,1,2010-10-15 09:00:12,1.2086
1,1,2010-10-15 09:40:49,2.2616
1,1,2010-10-15 10:10:32,1.3997
1,1,2010-10-15 10:50:48,1.3636
1,1,2010-10-15 11:35:16,4.819
1,1,2010-10-15 12:15:55,3.642
1,1,2010-10-15 12:40:01,1.4882
1,1,2010-10-15 13:20:41,1.5262
1,1,2010-10-15 14:00:15,2.589
1,1,2010-10-15 14:40:39,3.6543
1,1,2010-10-15 15:20:58,5.0523
1,1,2010-10-15 16:00:01,3.967
1,1,2010-10-11 09:00:34,2.5069
1,1,2010-10-11 09:40:35,3.3334
1,1,2010-10-11 10:20:39,2.2876
1,1,2010-10-11 11:00:49,1.3406
1,1,2010-10-11 11:40:14,2.7513
1,1,2010-10-11 12:20:02,5.9519
1,1,2010-10-11 13:00:05,2.8919
1,1,2010-10-11 13:40:41,4.5233
1,1,2010-10-11 14:20:49,2.9583
1,1,2010-10-11 15:00:24,1.7016
1,1,2010-10-11 15:40:02,2.8401
1,1,2010-10-11 16:20:17,0.0248
1,1,2010-10-12 09:00:41,1.611
1,1,2010-10-12 09:40:21,3.9707
1,1,2010-10-12 10:20:26,1.1943
1,1,2010-10-12 11:00:37,3.6167
1,1,2010-10-12 11:40:20,2.1149
1,1,2010-10-12 12:20:43,0.4771
1,1,2010-10-12 13:00:04,0.3884
1,1,2010-10-12 13:45:53,1.3235
1,1,2010-10-12 14:25:42,0.7388
1,1,2010-10-12 15:05:08,2.7881
1,1,2010-10-12 15:45:43,1.6871
1,1,2010-10-12 16:25:42,2.5577
1,1,2010-10-13 09:05:31,3.4301
1,1,2010-10-13 09:45:10,3.1753
1,1,2010-10-13 10:25:01,2.0839
1,1,2010-10-13 11:05:33,2.0191
1,1,2010-10-13 11:45:48,0.8297
1,1,2010-10-13 12:25:01,3.1362
1,1,2010-10-13 13:05:30,3.9861
1,1,2010-10-13 13:45:15,2.3366
1,1,2010-10-13 14:25:49,2.4696
1,1,2010-10-13 15:05:49,2.2737
1,1,2010-10-13 15:45:29,2.6771
1,1,2010-10-13 16:25:12,1.2209
1,1,2010-10-13 16:45:10,2.2257
1,1,2010-10-14 09:25:20,3.5691
1,1,2010-10-14 10:05:20,3.7443
1,1,2010-10-14 10:55:39,3.184
1,1,2010-10-14 11:05:05,1.2707
1,1,2010-10-14 11:45:58,2.5844
1,1,2010-10-14 12:25:03,4.2087
1,1,2010-10-14 13:05:54,3.8817
1,1,2010-10-14 13:45:45,1.5551
1,1,2010-10-14 14:25:09,4.4031
1,1,2010-10-14 15:05:05,2.4983
1,1,2010-10-14 15:45:08,3.6699
1,1,2010-10-14 16:25:45,3.8802
1,1,2010-10-15 09:05:04,3.8867
1,1,2010-10-15 09:45:16,2.9934
1,1,2010-10-15 10:25:46,3.619
1,1,2010-10-15 11:00:01,5.6748
1,1,2010-10-15 11:40:05,0.6806
1,1,2010-10-11 09:05:42,3.1767
1,1,2010-10-11 09:45:55,3.105
1,1,2010-10-11 10:25:58,0.8559
1,1,2010-10-11 11:05:33,0.2607
1,1,2010-10-11 11:45:27,4.1241
